TransactionAmount,PreviousTransactionDate,TransactionType,Location,Channel,CustomerAge,CustomerOccupation,TransactionDuration,LoginAttempts,AccountBalance,TransactionDate,AmountBin,AgeBin,Target
189.12,2123,0,16,3,32.0,1,103.0,1.0,977.01,139,1,2,1
133.55,1300,1,1,0,44.0,1,220.0,1.0,3846.2800000000007,235,1,0,2
143.21,92,1,9,2,35.0,1,135.0,1.0,6374.82,183,1,2,0
24.77,1222,1,4,0,62.0,2,55.0,1.0,5866.01,351,1,1,3
233.92,1976,0,17,2,26.0,3,280.0,1.0,6537.62,142,1,2,1
232.12,2461,1,43,0,37.0,1,51.00000000000001,1.0,6689.87,174,1,2,1
91.53,499,1,25,1,44.0,0,69.00000000000001,1.0,14676.05,312,1,0,0
120.29,2391,1,24,1,19.0,3,77.0,1.0,1362.39,27,1,2,1
174.25,1298,1,39,2,50.0,0,67.0,1.0,10528.34,246,1,0,2
183.71,1125,1,10,0,38.0,1,102.0,1.0,552.52,208,1,2,3
345.39,2485,0,31,3,58.0,1,80.0,1.0,6451.96,113,2,0,1
259.91,2076,1,10,2,49.0,0,170.0,1.0,7176.86,195,1,0,1
154.71,1204,1,36,2,34.0,0,157.0,1.0,1523.72,199,1,2,3
24.56,1977,1,23,1,64.0,0,69.00000000000001,1.0,9869.93,341,1,1,1
568.07,1585,2,42,0,48.0,0,115.0,1.0,10556.81,69,2,0,2
9.61,1149,0,36,2,58.0,0,179.0,1.0,12883.91,167,1,0,3
392.96,2166,1,18,2,24.0,3,100.00000000000001,1.0,791.65,135,2,2,1
716.93,1711,0,25,2,60.0,2,34.0,1.0,4064.02,109,0,1,2
230.66,592,1,15,1,21.0,3,135.0,1.0,618.05,260,1,2,0
644.17,430,1,35,0,29.0,1,72.0,1.0,1143.52,101,0,2,0
508.67999999999995,1160,0,23,1,51.0,1,127.0,1.0,7708.41,189,2,0,3
858.63,719,0,37,1,27.0,3,185.0,1.0,1872.96,263,0,2,3
25.36,1293,1,21,0,57.0,1,78.0,1.0,201.04,281,1,0,2
147.62,1622,1,5,1,71.0,2,133.0,1.0,2115.8,59,1,1,2
115.02,1680,1,35,1,37.0,0,175.0,1.0,7643.66,135,1,2,2
383.37,162,1,13,1,30.0,1,24.0,1.0,8901.93,283,2,2,0
98.54,1469,0,12,2,20.0,3,167.0,1.0,9383.43,219,1,2,2
83.24,1942,2,13,1,55.0,0,164.0,1.0,1181.31,268,1,0,1
196.16,377,1,41,1,27.0,1,146.0,1.0,9418.86,129,1,2,0
129.94,9,1,19,0,32.0,1,235.0,1.0,7954.919999999999,12,1,2,0
306.9,2265,1,7,2,46.0,1,51.00000000000001,1.0,9418.08,264,2,0,1
114.98,2052,1,39,2,59.0,2,80.0,1.0,6144.68,181,1,0,1
756.59,457,1,34,1,27.0,3,17.0,1.0,420.65,316,0,2,0
503.76000000000005,2245,1,20,2,22.0,3,35.0,1.0,447.82,179,2,2,1
143.03,1384,1,35,0,63.0,2,147.0,1.0,7981.450000000001,258,1,1,2
245.54,555,2,27,0,25.0,3,180.0,1.0,985.0600000000001,243,1,2,0
254.37000000000003,732,0,9,2,51.0,1,174.0,1.0,8849.26,33,1,0,3
213.76,429,0,9,0,78.0,2,282.0,1.0,3528.72,193,1,1,0
327.86,267,1,14,2,40.0,1,104.0,1.0,480.16,7,2,0,0
2.5,1320,1,36,2,47.0,0,107.0,1.0,12145.27,210,1,0,2
300.08,1875,0,2,2,68.0,0,47.0,1.0,13546.75,354,1,1,1
407.65,1236,1,4,2,26.0,1,61.99999999999999,1.0,8346.64,360,2,2,2
115.83,928,1,14,1,39.0,1,167.0,1.0,6481.04,219,1,0,3
53.57,1508,1,15,0,69.0,2,121.0,1.0,1651.33,140,1,1,2
63.34,2155,0,11,2,46.0,0,165.0,1.0,11174.94,230,1,0,1
317.87,2485,1,11,2,27.0,3,91.0,1.0,145.5,308,2,2,1
331.65,1568,1,32,2,41.0,1,61.00000000000001,1.0,4172.57,276,2,0,2
5.04,2231,1,42,0,56.0,2,41.0,1.0,5558.36,264,1,0,1
214.54,1414,0,11,2,70.0,0,247.0,1.0,11151.53,332,1,1,2
598.81,1633,1,30,1,57.0,0,158.0,1.0,1415.52,230,2,0,2
841.28,1452,1,40,2,26.0,3,80.0,1.0,1103.64,215,0,2,2
38.15,1661,1,23,2,26.0,3,107.99999999999999,1.0,303.68,79,1,2,2
124.72,1208,1,28,1,33.0,1,105.0,1.0,6309.8,62,1,2,3
302.45,1795,0,35,1,78.0,2,40.0,1.0,5133.61,331,2,1,2
208.04,2179,1,21,2,47.0,1,273.0,1.0,9344.98,142,1,0,1
5.77,2159,0,20,1,23.0,3,254.0,1.0,1117.97,269,1,2,1
381.33,1530,1,0,0,56.0,0,75.0,1.0,11835.35,189,2,0,2
16.16,1932,1,25,0,50.0,0,123.99999999999999,1.0,14401.17,335,1,0,1
486.0799999999999,1130,1,28,2,18.0,3,68.00000000000001,1.0,1748.69,40,2,2,3
336.39,101,1,35,1,21.0,3,18.0,1.0,1000.46,214,2,2,0
234.57,1617,1,6,2,23.0,3,120.0,1.0,263.98,144,1,2,2
6.0,1997,1,6,2,30.0,0,246.0,1.0,5442.76,200,1,2,1
227.14,1210,1,5,0,18.0,3,294.0,1.0,341.94,310,1,2,3
233.74,2002,0,28,2,66.0,2,17.0,1.0,1066.59,293,1,1,1
45.85,316,1,20,0,20.0,3,91.99999999999999,1.0,1659.15,61,1,2,0
415.5,1372,1,22,0,66.0,0,141.0,1.0,10113.66,240,2,1,2
265.76,240,1,30,2,54.0,2,91.99999999999999,1.0,4446.17,354,1,0,0
69.4,1344,1,41,2,80.0,2,113.0,1.0,6452.77,161,1,1,2
332.93,2170,0,0,1,35.0,1,293.0,1.0,2788.2,111,2,2,1
267.9,1874,1,35,2,20.0,3,160.0,1.0,596.1599999999999,131,1,2,1
496.0299999999999,2065,1,37,1,61.0,0,265.0,1.0,12904.66,198,2,1,1
376.26,308,1,40,0,37.0,1,245.0,1.0,9062.4,215,2,2,0
83.02,1641,0,39,2,36.0,1,171.0,1.0,9009.56,277,1,2,2
93.26,1364,0,27,2,20.0,3,72.0,1.0,1152.2,340,1,2,2
803.37,703,0,22,1,68.0,0,129.0,1.0,12168.37,137,0,1,3
35.76,1749,1,5,1,23.0,3,122.0,1.0,611.8599999999999,316,1,2,2
28.53,989,1,42,2,62.0,0,99.0,1.0,8670.53,7,1,1,3
139.53,1876,0,21,2,53.0,0,177.0,1.0,10098.86,68,1,0,1
307.57,52,1,11,1,33.0,0,285.0,1.0,5307.74,10,2,2,0
60.650000000000006,964,0,40,1,56.0,2,53.00000000000001,1.0,1047.28,179,1,0,3
74.86,1497,1,26,1,70.0,0,125.0,1.0,6921.48,76,1,1,2
231.91,204,1,22,0,34.0,1,165.0,1.0,112.76,351,1,2,0
126.20999999999998,297,1,3,1,75.0,2,268.0,1.0,5669.66,139,1,1,0
304.35,2295,1,15,1,31.0,1,36.0,1.0,4057.1,142,2,2,1
281.85,890,1,11,0,22.0,3,109.0,1.0,1585.98,75,1,2,3
777.88,544,1,15,1,31.0,1,17.0,1.0,6825.55,172,0,2,0
119.18,1571,1,20,1,56.0,2,96.0,1.0,5516.5,71,1,0,2
177.19,876,1,6,2,76.0,2,43.0,1.0,5343.3,7,1,1,3
260.88,970,1,10,1,22.0,3,36.0,1.0,903.05,29,1,2,3
169.47,560,1,6,2,24.0,3,18.999999999999996,1.0,1806.16,74,1,2,0
73.23,905,1,32,1,26.0,3,14.0,1.0,787.7399999999999,288,1,2,3
792.57,916,1,3,0,19.0,3,164.0,1.0,770.37,255,0,2,3
237.06,2381,1,31,2,71.0,2,45.99999999999999,1.0,1182.77,87,1,1,1
34.17,2189,0,30,2,54.0,1,53.99999999999999,1.0,726.55,6,1,0,1
740.25,1310,1,30,2,41.0,0,123.0,1.0,14464.3,124,0,0,2
453.54,723,1,0,0,58.0,0,82.0,1.0,12046.3,342,2,0,3
300.47,2116,1,17,1,73.0,2,100.00000000000001,1.0,7885.64,97,1,1,1
110.93,656,0,41,1,19.0,3,201.0,1.0,1952.3499999999997,269,1,2,3
201.69,22,1,19,0,59.0,0,299.0,1.0,7328.52,233,1,0,0
399.21,181,1,32,0,59.0,1,109.0,1.0,3210.39,118,2,0,0
630.36,434,1,23,0,62.0,2,52.00000000000001,1.0,1363.65,351,0,1,0
10.94,1993,0,30,0,60.0,1,245.0,1.0,1241.99,329,1,1,1
215.9,28,1,20,0,38.0,0,235.0,1.0,7873.280000000001,240,1,2,0
226.37,1735,2,21,1,49.0,0,141.0,1.0,9840.04,213,1,0,2
444.89,1683,0,19,1,43.0,0,101.0,1.0,10328.23,326,2,0,2
280.57,174,0,41,2,25.0,3,24.0,1.0,293.24,241,1,2,0
488.54,1211,1,17,1,52.0,1,132.0,1.0,7486.63,63,2,0,3
3.3,577,0,20,1,50.0,0,131.0,1.0,11385.37,228,1,0,0
199.39,1526,2,7,1,69.0,2,165.0,1.0,7264.79,163,1,1,2
20.36,1338,1,40,1,62.0,2,75.0,1.0,2762.48,291,1,1,2
493.11,1380,1,7,1,53.0,2,236.0,1.0,7432.99,98,2,0,2
307.41,1073,1,20,0,19.0,3,14.0,1.0,1057.0,205,2,2,3
11.18,2267,1,1,2,43.0,0,161.0,1.0,5956.89,237,1,0,1
313.82,2147,1,40,1,59.0,1,151.0,1.0,7261.59,139,2,0,1
140.98,954,1,22,1,60.0,1,100.00000000000001,1.0,8127.4800000000005,349,1,1,3
288.04,1558,1,10,0,68.0,2,63.0,1.0,1748.02,217,1,1,2
800.55,805,1,28,0,31.0,1,107.99999999999999,1.0,9660.22,26,0,2,3
485.54,238,1,15,0,46.0,1,143.0,1.0,6371.51,322,2,0,0
521.15,327,1,18,0,54.0,0,214.0,1.0,9442.47,68,2,0,0
304.93,375,1,32,0,65.0,0,158.0,1.0,13531.22,112,2,1,0
432.08,1377,2,12,0,40.0,0,145.0,1.0,11500.62,322,2,0,2
694.2,2320,1,25,0,61.0,2,72.0,1.0,1389.37,60,0,1,1
116.86,552,1,21,0,55.0,1,171.0,1.0,6706.56,351,1,0,0
74.88,950,1,1,0,25.0,3,202.0,1.0,420.67,83,1,2,3
890.24,1243,0,19,2,33.0,1,161.0,1.0,5140.93,69,0,2,2
361.27,41,1,29,0,63.0,0,180.0,1.0,7945.57,224,2,1,0
131.56,1968,1,5,1,44.0,0,42.00000000000001,1.0,5873.54,49,1,0,1
485.51,2251,0,25,2,76.0,2,37.0,1.0,3074.45,99,2,1,1
547.87,1256,1,8,0,64.0,2,131.0,1.0,6155.76,248,2,1,2
457.3,1172,1,41,2,28.0,1,15.0,1.0,8318.29,90,2,2,3
506.24,91,1,6,0,58.0,1,64.0,1.0,230.09,316,2,0,0
486.59,2395,1,16,1,57.0,2,119.0,1.0,2513.56,219,2,0,1
163.68,1817,1,36,1,41.0,0,292.0,1.0,10090.05,277,1,0,2
581.65,61,1,4,0,22.0,3,176.0,1.0,480.19000000000005,196,2,2,0
52.01,2090,1,23,0,48.0,0,85.0,1.0,1120.88,303,1,0,1
630.24,2262,1,4,0,21.0,3,61.99999999999999,1.0,370.81,328,0,2,1
523.74,2060,1,28,0,43.0,0,159.0,1.0,13498.55,29,2,0,1
217.5,2000,0,10,1,46.0,1,35.0,1.0,3057.4,35,1,0,1
91.48,148,1,13,0,51.0,0,141.0,1.0,14942.779999999999,174,1,0,0
5.25,2132,1,38,0,39.0,0,49.0,1.0,14143.32,358,1,0,1
54.03,1747,0,25,0,56.0,2,161.0,1.0,6736.3,73,1,0,2
736.73,2220,1,22,1,48.0,1,10.0,1.0,3313.07,270,0,0,1
368.91,489,2,41,1,54.0,0,14.0,1.0,829.7099999999999,245,2,0,0
33.06,111,0,13,2,53.0,2,170.0,1.0,1540.87,20,1,0,0
66.5,809,0,21,2,32.0,1,144.0,1.0,6820.23,103,1,2,3
177.08,42,1,19,3,35.0,0,85.0,1.0,13475.14,357,1,2,0
588.54,241,1,32,1,32.0,1,130.0,1.0,714.4499999999999,253,2,2,0
173.5,1991,1,26,0,21.0,3,282.0,1.0,1306.91,328,1,2,1
78.33,1378,0,22,2,56.0,1,189.0,1.0,7255.33,115,1,0,2
40.66,2473,1,21,1,59.0,2,156.0,1.0,1153.84,304,1,0,1
97.22,344,0,1,1,77.0,2,55.0,1.0,6647.73,293,1,1,0
34.07,2082,1,30,1,22.0,3,81.0,1.0,8709.77,58,1,2,1
492.06000000000006,1965,1,14,2,23.0,3,74.0,1.0,857.9,213,2,2,1
842.01,1696,0,41,2,53.0,0,185.0,1.0,509.45000000000005,130,0,0,2
73.55,50,1,1,0,51.0,1,158.0,1.0,2812.06,297,1,0,0
760.53,1642,1,31,2,57.0,1,118.0,1.0,6179.91,192,0,0,2
371.69,2414,1,37,1,67.0,2,143.0,1.0,3484.32,216,2,1,1
218.96,1605,1,39,0,18.0,3,13.0,1.0,754.21,252,1,2,2
227.39,2429,1,1,2,18.0,3,65.0,1.0,751.09,312,1,2,1
237.99,831,0,18,1,39.0,0,86.0,1.0,8510.09,312,1,0,3
186.6,1219,1,43,2,58.0,0,13.0,1.0,1508.72,1,1,0,3
341.15,288,1,38,2,18.0,3,148.0,1.0,511.36999999999995,226,2,2,0
434.58,1656,1,22,0,59.0,0,215.0,1.0,12648.32,112,2,0,2
312.88,963,0,32,1,54.0,1,44.0,1.0,233.21,60,2,0,3
75.15,1738,1,4,0,23.0,3,154.0,1.0,1092.92,276,1,2,2
23.3,1500,1,20,0,59.0,1,161.0,1.0,6711.15,103,1,0,2
47.38,253,0,39,2,25.0,3,61.00000000000001,1.0,459.37,42,1,2,0
512.81,1309,1,34,1,79.0,2,30.0,1.0,6994.34,334,2,1,2
488.15000000000003,1376,1,21,1,43.0,1,168.00000000000003,1.0,7071.09,289,2,0,2
12.82,647,1,13,0,44.0,1,156.0,1.0,9045.19,122,1,0,3
535.91,1237,1,19,2,43.0,1,22.0,1.0,9642.12,265,2,0,2
270.72,1213,0,42,2,26.0,1,53.00000000000001,1.0,6263.96,281,1,2,3
97.98,223,1,10,1,72.0,2,18.0,1.0,7460.329999999999,140,1,1,0
196.08,1567,1,37,2,61.0,2,98.0,1.0,4233.82,8,1,1,2
251.18000000000004,995,1,38,0,42.0,1,246.0,1.0,8303.9,92,1,0,3
44.52,598,1,12,2,28.0,3,205.0,1.0,314.28,245,1,2,0
178.87,941,1,3,2,35.0,0,180.0,1.0,5241.23,233,1,2,3
386.68,2045,1,27,1,46.0,0,128.0,1.0,6863.06,5,2,0,1
167.14,754,1,10,2,76.0,2,20.0,1.0,3877.7299999999996,3,1,1,3
345.22,1648,1,14,1,69.0,2,253.0,1.0,4046.5800000000004,73,2,1,2
74.85,2435,1,33,0,72.0,2,117.0,1.0,2409.73,325,1,1,1
671.73,1918,1,42,1,58.0,1,53.99999999999999,1.0,5211.88,340,0,0,1
255.03999999999996,2200,1,39,0,45.0,1,151.99999999999997,1.0,6217.86,314,1,0,1
45.77,261,1,30,2,25.0,3,109.0,1.0,5978.12,98,1,2,0
329.69,60,0,35,2,26.0,3,66.0,1.0,1671.66,206,2,2,0
11.92,1879,1,36,3,53.0,0,52.00000000000001,1.0,14611.9,298,1,0,1
47.42,2394,1,36,0,64.0,0,28.0,1.0,8253.52,153,1,1,1
35.99,130,1,24,1,63.0,2,129.0,1.0,4489.79,174,1,1,0
151.19,815,0,27,1,37.0,0,96.0,1.0,11903.82,292,1,2,3
242.62,1251,0,37,2,22.0,3,234.0,1.0,483.02000000000004,46,1,2,2
48.72,1828,1,41,1,21.0,3,17.0,1.0,816.0799999999999,64,1,2,2
43.46,1323,1,4,0,25.0,3,80.0,1.0,578.06,261,1,2,2
443.79,1882,1,19,0,53.0,2,87.0,1.0,3133.85,292,2,0,1
365.14,2280,1,9,2,68.0,2,57.0,1.0,5894.09,62,2,1,1
757.41,817,1,20,0,22.0,3,37.0,1.0,9532.42,160,0,2,3
20.54,1541,1,13,1,51.0,1,72.0,1.0,5327.03,65,1,0,2
475.36,1829,1,31,0,34.0,1,105.0,1.0,2000.6,36,2,2,2
34.74,1163,1,37,0,56.0,2,24.0,1.0,6827.57,279,1,0,3
689.54,456,1,28,1,27.0,3,93.0,1.0,1633.76,150,0,2,0
211.18,1914,1,42,0,73.0,2,90.0,1.0,4069.1699999999996,326,1,1,1
211.36,2186,0,13,1,51.0,1,286.0,1.0,7943.469999999999,286,1,0,1
744.41,1383,0,15,2,39.0,1,107.0,1.0,8842.47,303,0,0,2
61.43,1192,1,31,2,24.0,3,170.0,1.0,1882.77,115,1,2,3
167.44,1778,1,23,1,37.0,0,82.0,1.0,12526.71,265,1,2,2
361.46,659,1,26,2,21.0,3,83.0,1.0,4737.84,258,2,2,3
378.85,1106,1,41,1,78.0,2,126.0,1.0,2300.53,164,2,1,3
241.10999999999999,1105,1,8,1,30.0,0,55.0,1.0,12385.05,265,1,2,3
131.93,1689,0,13,1,31.0,1,13.0,1.0,4547.06,27,1,2,2
20.28,1313,1,28,2,36.0,1,213.0,1.0,2047.83,219,1,2,2
415.88,771,1,36,1,70.0,0,170.0,1.0,10008.33,98,2,1,3
100.66,2485,1,9,1,50.0,0,144.0,1.0,14473.33,330,1,0,1
485.54,2330,1,21,2,19.0,3,148.0,1.0,1533.32,285,2,2,1
321.15,268,1,20,1,46.0,0,179.0,1.0,7005.05,10,2,0,0
711.3,1176,1,38,1,21.0,3,51.00000000000001,1.0,955.4,189,0,2,3
12.23,1897,1,15,0,42.0,1,139.0,1.0,7844.880000000001,66,1,0,1
350.94,2034,1,7,0,20.0,3,64.0,1.0,221.56,252,2,2,1
301.85,720,1,8,2,54.0,1,25.000000000000004,1.0,6586.19,222,2,0,3
29.34,480,1,21,2,65.0,2,30.0,1.0,3944.82,318,1,1,0
231.71,747,1,33,1,27.0,3,148.0,1.0,1127.98,39,1,2,3
179.43,1478,1,28,0,58.0,2,244.0,1.0,2626.63,217,1,0,2
36.71,188,1,17,1,48.0,0,55.0,1.0,6459.38,320,1,0,0
138.12,683,0,20,1,53.0,0,281.0,1.0,1649.69,299,1,0,3
233.24,711,1,21,0,33.0,1,72.0,1.0,6939.23,76,1,2,3
609.14,2198,1,40,0,39.0,1,177.0,1.0,9033.87,309,0,0,1
436.64,2442,1,20,1,31.0,0,111.0,1.0,14365.18,120,2,2,1
870.43,991,1,20,1,29.0,0,55.0,1.0,10115.18,89,0,2,3
354.4,2083,1,6,0,74.0,2,128.0,1.0,7358.65,217,2,1,1
22.63,342,1,18,2,53.0,1,112.0,1.0,4438.03,272,1,0,0
182.19,1115,1,23,1,26.0,3,53.00000000000001,1.0,1176.1,4,1,2,3
126.81,2032,1,30,1,26.0,1,290.0,1.0,5427.98,358,1,2,1
288.17,1671,1,41,2,37.0,1,50.00000000000001,1.0,3653.11,233,1,2,2
118.77,1835,1,1,1,55.0,1,123.0,1.0,2104.82,246,1,0,2
651.82,700,1,16,0,21.0,3,166.0,1.0,1802.77,39,0,2,3
66.65,1950,1,11,0,37.0,1,33.0,1.0,3559.96,276,1,2,1
98.53,97,1,10,1,69.0,2,166.0,1.0,3564.8,295,1,1,0
138.95,1001,1,42,2,71.0,2,30.0,1.0,6752.92,134,1,1,3
33.89,2108,1,26,1,26.0,3,177.0,1.0,1444.75,312,1,2,1
23.71,1723,1,1,1,58.0,0,164.0,1.0,10788.89,173,1,0,2
26.06,2410,1,36,0,65.0,0,283.0,1.0,12893.63,336,1,1,1
17.07,788,1,20,1,27.0,1,44.0,1.0,2798.15,301,1,2,3
703.89,1772,1,35,2,46.0,1,61.99999999999999,1.0,3583.67,21,0,0,2
26.55,1757,1,15,0,77.0,2,228.0,1.0,3085.38,60,1,1,2
147.4,1053,1,38,1,42.0,1,259.0,1.0,6797.71,55,1,0,3
202.11,606,1,22,0,27.0,3,18.0,1.0,746.47,218,1,2,0
308.42,796,1,26,1,75.0,2,39.0,1.0,5427.81,11,2,1,3
11.18,397,1,24,0,53.0,1,144.0,1.0,7467.300000000001,273,1,0,0
294.15,208,1,14,2,38.0,1,136.0,1.0,6362.16,57,1,2,0
139.45,1253,1,4,2,27.0,3,30.999999999999996,1.0,1305.76,225,1,2,2
432.63,1200,1,7,0,29.0,0,137.0,1.0,13648.36,241,2,2,3
131.43,206,1,5,2,43.0,0,65.0,1.0,1337.5,348,1,0,0
516.72,1884,1,23,0,42.0,1,128.0,1.0,2015.6900000000003,311,2,0,1
374.5,1336,0,37,1,26.0,3,178.0,1.0,1671.51,134,2,2,2
166.13,1658,1,29,0,68.0,0,227.0,1.0,11822.53,344,1,1,2
626.9,1886,1,6,0,23.0,3,146.0,1.0,587.1099999999999,306,0,2,1
466.85,1291,1,2,1,56.0,2,165.0,1.0,5422.53,192,2,0,2
788.84,893,1,31,2,58.0,2,231.0,1.0,1913.73,199,0,0,3
525.28,631,1,7,0,69.0,2,134.0,1.0,4693.6,196,2,1,3
110.17,1662,2,33,0,30.0,1,137.0,1.0,464.2,347,1,2,2
632.69,1694,1,10,0,80.0,2,75.99999999999999,1.0,4363.74,183,0,1,2
124.35,2328,1,28,0,72.0,2,90.0,1.0,3319.76,311,1,1,1
43.85,497,1,14,0,62.0,2,122.0,1.0,4356.98,55,1,1,0
283.81,479,1,36,1,28.0,3,29.000000000000004,1.0,1519.35,262,1,2,0
168.53,1087,1,37,0,71.0,2,112.0,1.0,5962.58,345,1,1,3
218.59,2232,0,10,1,40.0,1,123.0,1.0,6699.23,49,1,0,1
132.84,1528,1,28,0,21.0,3,143.0,1.0,822.73,137,1,2,2
157.37,2142,0,9,1,42.0,0,289.0,1.0,13964.31,247,1,0,1
144.77,1290,1,0,2,20.0,3,159.0,1.0,867.3199999999999,270,1,2,2
643.22,804,1,1,0,64.0,0,93.0,1.0,1035.86,83,0,1,3
208.07,1254,1,28,2,32.0,0,36.0,1.0,8478.9,319,1,2,2
295.5,2207,1,23,0,59.0,2,36.0,1.0,6280.66,45,1,0,1
30.229999999999997,2085,1,2,0,44.0,0,99.0,1.0,481.13,342,1,0,1
112.05,2485,0,31,0,26.0,3,159.0,1.0,1122.88,128,1,2,1
180.24,1207,1,31,1,58.0,1,144.0,1.0,8431.23,174,1,0,3
13.71,985,0,10,2,38.0,1,148.0,1.0,8342.79,293,1,2,3
96.54,506,1,27,1,58.0,2,95.0,1.0,7182.22,248,1,0,0
79.35,2485,1,20,2,67.0,2,70.0,1.0,1692.15,205,1,1,1
101.04,1261,1,35,0,27.0,3,160.0,1.0,1695.57,20,1,2,2
74.42,2204,1,12,2,49.0,1,68.00000000000001,1.0,6264.21,299,1,0,1
